head_noun,head_noun_in_main_clause,clause_verb,filler_gap_dependency,restrictiveness,relativizer,head_noun_in_rc,relative_clause,relative_clause_length,rc_type,structure_pattern,file,sent,sentence_word_count,sentence_verb_count
places,nsubj,“,7,restrictive,where,advmod,where relatively large shares of adults are “ nones ” expressing such nonbelief,13,Other,NP + Comp + NP2,input_texts/completed-websites-f25/pewresearch.txt,"Other places where relatively large shares of adults are “nones” expressing such nonbelief are Australia (24%), the Netherlands (24%) and South Korea (23%).",36,3
beliefs,dobj,asked,2,restrictive,zero,zero,we asked about in the survey – sometimes by very wide margins,12,ORC,zero relative,input_texts/completed-websites-f25/pewresearch.txt,“Nones” who say religion is not at all important in their lives are much less likely than other “nones” to hold the various spiritual and religious beliefs we asked about in the survey – sometimes by very wide margins.,44,6
minister,dobj,has,1,restrictive,who,nsubj,who has strong religious beliefs,5,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"In the UK, for instance, 86% of religiously unaffiliated adults say it is not important to have a prime minister who has strong religious beliefs – including 71% of British “nones” who say this is not at all important for a prime minister.",50,8
pope,dobj,born,2,restrictive,who,nsubjpass,who was born in the United States,7,SRC,NP + Comp + Verb + NP2 (passive),input_texts/completed-websites-f25/pewresearch.txt,"When asked how excited they are to have a pope who was born in the United States, 36% of American Catholics say they are extremely or very excited.",31,7
Catholics,nsubj,attend,1,restrictive,who,nsubj,who attend Mass at least once a week,8,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,U.S. Catholics who attend Mass at least once a week say they view Leo more positively and know more about him than other U.S. Catholics do.,27,5
people,nsubjpass,said,1,restrictive,who,nsubj,who said “ yes ” to either question,8,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"On the web and phone surveys, only people who said “yes” to either question were asked how often they use the internet.",26,4
respondents,nsubj,took,1,restrictive,who,nsubj,who took the paper survey,5,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,All respondents who took the paper survey answered the frequency question.,12,2
shares,nsubj,say,1,restrictive,who,nsubj,who say they are online this much,7,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,The shares who say they are online this much range from 13% of adults in Nigeria to a 56% majority in Japan.,25,3
share,nsubj,online,3,restrictive,who,nsubj,who are not online,4,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"In Europe, Canada and the U. S., the share who are not online is around 10% or smaller.",22,2
half,dobj,have,1,restrictive,who,nsubj,who have a very unfavorable view of the UN – by far the highest share expressing this view across all 25 countries we polled this year,26,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,This includes around half of Israelis (51%) who have a very unfavorable view of the UN – by far the highest share expressing this view across all 25 countries we polled this year.,37,4
Israelis,nsubj,have,1,restrictive,who,nsubj,who have a favorable view of Prime Minister Benjamin Netanyahu or of his Likud party,15,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"Additionally, Israelis who have a favorable view of Prime Minister Benjamin Netanyahu or of his Likud party are more likely than those who do not view Netanyahu or his party favorably to say the UN is harmful in the work toward lasting peace.",45,7
Everyone,nsubj,took,1,restrictive,who,nsubj,who took part,3,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"Everyone who took part is a member of the Center’s American Trends Panel (ATP), an online survey panel that is recruited through national, random sampling of residential addresses.",35,4
months,nsubjpass,followed,1,restrictive,that,nsubj,that followed,2,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"While Americans had a shared sense of anguish after Sept. 11, the months that followed also were marked by rare spirit of public unity.",26,5
Bush,nsubj,president,3,restrictive,who,nsubj,who had become president nine months earlier after a fiercely contested election,12,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"George W. Bush, who had become president nine months earlier after a fiercely contested election, saw his job approval rise 35 percentage points in the space of three weeks.",32,3
share,dobj,said,1,restrictive,who,nsubj,who said that eight months earlier and – like public trust in the federal government – the highest level in four decades,22,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"In November 2001, 78% said religion’s influence in American life was increasing, more than double the share who said that eight months earlier and – like public trust in the federal government – the highest level in four decades.",45,6
heights,dobj,did,2,restrictive,zero,zero,they did shortly after 9/11,5,ORC,zero relative,input_texts/completed-websites-f25/pewresearch.txt,"Bush’s approval ratings, meanwhile, never again reached the lofty heights they did shortly after 9/11.",20,3
force,dobj,widespread,3,restrictive,which,nsubj,which had been widespread at the start of the conflict,10,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"Meanwhile, public support for the decision to use force in Afghanistan, which had been widespread at the start of the conflict, declined.",26,4
people,dobj,say,1,restrictive,who,nsubj,"who say they are atheist , agnostic or “ nothing in particular ” in response to a Pew Research Center survey question about religious identity",25,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"For example, the “Religiously unaffiliated” category includes people who say they are atheist, agnostic or “nothing in particular” in response to a Pew Research Center survey question about religious identity, as well as people who choose a “No religion” or “None” option in other surveys and national censuses.",60,6
dynamics,dobj,drove,1,restrictive,that,nsubj,that drove religious change between 2010 and 2020,8,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"To help explain the demographic dynamics that drove religious change between 2010 and 2020, we looked at religion-specific data on fertility rates and the age distribution of religious groups in each country, as well as mortality patterns for the overall population of each country.",47,4
countries,dobj,had,1,restrictive,that,nsubj,"that had populations of at least 100 , 000 people in 2010 or 2020",14,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"Our estimates cover 201 countries and territories that had populations of at least 100, 000 people in 2010 or 2020.",22,2
Populations,nsubj,young,3,restrictive,that,nsubj,"that are relatively young , on average , and have more children",12,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"Populations that are relatively young, on average, and have more children typically expand more quickly than those that are relatively old or have large numbers of people who die prematurely due to wars, diseases or famines.",40,6
people,nsubj,switch,1,restrictive,who,nsubj,who switch identities,3,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,We use the term “switching” rather than “conversion” because many people who switch identities leave religion to become religiously unaffiliated.,25,6
extent,dobj,outnumber,2,restrictive,which,pobj,to which births outnumber deaths – is greater for religious groups that have higher fertility rates and lower mortality rates,20,ORC,NP + Comp + NP2 + Verb,input_texts/completed-websites-f25/pewresearch.txt,Natural population growth – the extent to which births outnumber deaths – is greater for religious groups that have higher fertility rates and lower mortality rates.,27,3
number,dobj,occurred,1,restrictive,that,nsubj,that occurred globally between 2010 and 2015,7,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"In a report published in 2017, we modeled the number of births and deaths that occurred globally between 2010 and 2015.",23,3
Religions,nsubj,concentrated,2,restrictive,that,nsubjpass,that are concentrated in parts of the globe with relatively high overall population growth ( such as the Middle East-North Africa region and sub-Saharan Africa ),26,SRC,NP + Comp + Verb + NP2 (passive),input_texts/completed-websites-f25/pewresearch.txt,"Religions that are concentrated in parts of the globe with relatively high overall population growth (such as the Middle East-North Africa region and sub-Saharan Africa) naturally would expand more quickly than those concentrated in low-growth regions (such as North America, the Asia-Pacific region and Europe).",51,4
people,dobj,engage,1,restrictive,who,nsubj,who engage in religious or spiritual beliefs and practices but do not consider themselves affiliated with any religion,18,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,(The measure of formal zongjiao religious identity commonly used in Chinese surveys excludes people who engage in religious or spiritual beliefs and practices but do not consider themselves affiliated with any religion. ),35,6
teens,nsubj,live,1,restrictive,who,nsubj,who live with parents,4,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,The survey is weighted to be representative of two different populations: 1) parents with teens ages 13 to 17 and 2) teens ages 13 to 17 who live with parents.,34,5
Parents,nsubjpass,say,1,restrictive,who,nsubj,who say they are at least somewhat concerned about teen mental health today,13,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,Parents and teens who say they are at least somewhat concerned about teen mental health today were then asked what they think most negatively impacts it.,27,6
Technology,nsubj,making,2,restrictive,which,nsubj,which is making them more afraid to try things,9,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"“Technology, which is making them more afraid to try things, makes them less creative and makes them less likely to figure out how to solve their own problems, whether relationally or physically.",37,7
people,dobj,see,2,restrictive,zero,zero,they see on social media,5,ORC,zero relative,input_texts/completed-websites-f25/pewresearch.txt,"“The people they see on social media, it makes them think they have to look and be like them or they won’t be liked.",29,10
teens,nsubj,concerned,5,restrictive,who,nsubjpass,who are at least somewhat concerned,6,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,About one-in-five teens who are at least somewhat concerned cited bullying – in person or online (17%).,21,3
area,nsubj,share,2,restrictive,where,advmod,where teens share contrasting views about social media,8,Other,NP + Comp + NP2,input_texts/completed-websites-f25/pewresearch.txt,One area where teens share contrasting views about social media is when discussing its effect on their peers versus their own experiences.,23,4
share,nsubj,believe,1,restrictive,who,nsubj,who believe these platforms have a mostly positive effect on people their age,13,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"At the same time, the share who believe these platforms have a mostly positive effect on people their age decreased from 24% in 2022 to 11% in our current survey.",34,3
percentage,nsubj,describe,1,restrictive,who,nsubj,who describe social media ’ s effect on their peers as neither positive nor negative,15,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,The percentage who describe social media’s effect on their peers as neither positive nor negative has remained statistically unchanged over this time span.,26,3
habits,dobj,crucial,3,restrictive,which,nsubj,which are both crucial for well-being,6,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"In our survey, teens are far more likely to say social media hurt rather than help their sleeping habits and productivity, which are both crucial for well-being, according to experts.",34,6
people,dobj,support,2,restrictive,who,nsubj,who will support them through tough times,7,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,And about half – 52% each – say what they see on these sites makes them feel more accepted or as if they have people who will support them through tough times.,34,6
differences,nsubj,feel,2,restrictive,which,pobj,to which they feel this way,6,ORC,NP + Comp + NP2 + Verb,input_texts/completed-websites-f25/pewresearch.txt,"However, there are differences in the degree to which they feel this way.",15,2
Teens,nsubj,report,1,restrictive,who,nsubj,who report spending too much time on social media,9,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,Teens who report spending too much time on social media are more likely to report cutting back on it.,20,5
People,nsubj,identify,1,restrictive,who,nsubj,who identify as strong Republicans,5,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"People who identify as strong Republicans continue to overwhelmingly approve of Trump’s job performance: 93% do so today, little different than the 96% who approved at the outset of his presidency.",38,5
thing,nsubj,agree,6,restrictive,zero,zero,Republicans and Democrats can largely agree on,7,ORC,zero relative,input_texts/completed-websites-f25/pewresearch.txt,"One thing Republicans and Democrats can largely agree on, however, is their disagreement: 83% of Democrats and independents who lean Democratic now say voters from the two parties disagree on the basic facts, as do 79% of Republicans and GOP leaners.",48,6
respondents,dobj,say,1,restrictive,who,nsubj,who say Democratic and Republican voters can not agree about basic facts whether two potential factors are reasons why,19,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,The survey asked all respondents who say Democratic and Republican voters cannot agree about basic facts whether two potential factors are reasons why.,25,4
files,dobj,aggregate,1,restrictive,that,nsubj,that aggregate publicly available official state turnout records,8,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,We verified their turnout using commercial voter files that aggregate publicly available official state turnout records.,17,3
citizens,dobj,part,2,restrictive,who,nsubj,who are part of the ATP,6,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"To validate 2024 election turnout, we attempted to match adult citizens who are part of the ATP to a turnout record in at least one of three commercial voter files: one that serves conservative and Republican organizations and campaigns, one that serves progressive and Democratic organizations and campaigns, and one that is nonpartisan.",58,7
Those,nsubjpass,said,1,restrictive,who,nsubj,who said they did not vote in an election,9,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,Those who said they did not vote in an election are considered nonvoters.,14,5
Those,nsubjpass,matched,4,restrictive,who,nsubjpass,who could not be matched,5,SRC,NP + Comp + Verb + NP2 (passive),input_texts/completed-websites-f25/pewresearch.txt,Those who could not be matched were also considered nonvoters.,11,4
those,dobj,old,2,restrictive,who,nsubj,"who were old enough to vote in 2020 , but did not",12,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"This includes both those who were old enough to vote in 2020, but did not, and voters who were too young to vote in 2020, but were 18 years of age or older in 2024 and cast a ballot.",43,8
elections,dobj,voted,3,restrictive,zero,zero,whether they voted in person or by mail,8,ORC,zero relative,input_texts/completed-websites-f25/pewresearch.txt,"Voter file: A list of adults that includes information such as whether a person is registered to vote, which elections they have voted in, whether they voted in person or by mail, and additional data.",40,7
those,nsubj,didn,1,restrictive,who,nsubj,who didn ’ t vote,5,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"This is a stark contrast to 2020, when those who didn’t vote expressed a clear preference for Biden over Trump (46% to 35%).",31,3
immigrants,nsubj,hold,1,restrictive,who,nsubj,who hold U.S. citizenship – who voted in the election,10,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"Naturalized citizens – immigrants who hold U.S. citizenship – who voted in the election split their votes about evenly, with 51% voting for Harris and 47% for Trump.",32,4
immigrants,nsubj,voted,6,restrictive,who,nsubj,who voted in the election,5,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"Naturalized citizens – immigrants who hold U.S. citizenship – who voted in the election split their votes about evenly, with 51% voting for Harris and 47% for Trump.",32,4
people,nsubj,’,1,restrictive,who,nsubj,who ’ ve been a financial victim to an online scam or attack,13,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,Most people who’ve been a financial victim to an online scam or attack never contacted the authorities.,20,3
eight-in-ten,dobj,say,1,restrictive,who,nsubj,who say they are a major problem,7,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,This includes about eight-in-ten who say they are a major problem and 19% who say they are a minor problem.,22,5
app,dobj,tracks,1,restrictive,that,nsubj,that tracks their online browsing behavior,6,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"This analysis uses the web browsing data of 900 U.S. adults who are members of KnowledgePanel Digital, an online survey panel whose respondents agree to install an app that tracks their online browsing behavior.",36,6
Those,nsubj,encounter,3,restrictive,who,nsubj,who did not encounter an AI summary,7,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,Those who did not encounter an AI summary clicked on a search result nearly twice as often (15% of visits).,24,3
searches,nsubj,contain,1,restrictive,that,nsubj,"that contain more words , ask questions or use full sentences",11,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"Google searches that contain more words, ask questions or use full sentences tend to produce AI summaries more often.",21,4
questions,dobj,asked,2,restrictive,zero,zero,we asked around the world,5,ORC,zero relative,input_texts/completed-websites-f25/pewresearch.txt,"At the end of this brief interactive narrative, you’ll find a sortable table to explore several questions we asked around the world about respondents’ spiritual and religious beliefs and practices.",35,4
afterlife,nsubj,puts,1,restrictive,which,nsubj,which puts the U.S. in the top third of countries surveyed on this question,14,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"In the U. S., seven-in-ten adults think there is definitely or probably an afterlife, which puts the U.S. in the top third of countries surveyed on this question.",31,4
Countries,nsubj,pray,3,restrictive,where,advmod,where most people pray daily,5,Other,NP + Comp + NP2,input_texts/completed-websites-f25/pewresearch.txt,"Countries where most people pray daily tend to be middle-income countries, such as Nigeria and the Philippines.",19,3
table,dobj,includes,1,restrictive,that,nsubj,that includes other measures of religion and spirituality asked about around the world,13,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,You also can download a table that includes other measures of religion and spirituality asked about around the world.,20,3
graphics,dobj,show,1,restrictive,that,nsubj,that show how different religious groups in each country tend to answer these questions,14,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"You can explore this in our accompanying report “Believing in Spirits and Life After Death Is Common Around the World, ” which includes graphics that show how different religious groups in each country tend to answer these questions.",41,7
Countries,nsubj,lost,1,restrictive,that,nsubj,that lost their Christian majorities,5,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"Countries that lost their Christian majorities all saw growing percentages of religiously unaffiliated people – a broad group that includes those who say they have no religion or who identify religiously as atheist, agnostic or “nothing in particular.",41,8
those,dobj,say,1,restrictive,who,nsubj,who say they have no religion,6,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"Countries that lost their Christian majorities all saw growing percentages of religiously unaffiliated people – a broad group that includes those who say they have no religion or who identify religiously as atheist, agnostic or “nothing in particular.",41,8
others,dobj,had,2,restrictive,that,nsubj,that already had religiously unaffiliated majorities in 2010,8,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"They joined seven others that already had religiously unaffiliated majorities in 2010: China (90% unaffiliated in 2020), North Korea (73%), the Czech Republic (73%), Hong Kong (71%), Vietnam (68%), Macao (68%) and Japan (57%).",62,3
change,nsubj,),10,restrictive,which,pobj,"in which the majority of the population is Muslim ( 53 ) , Buddhist ( 7 ) , Hindu ( 2 ) , Jewish ( 1 ) or followers of other religions ( 1 )",35,ORC,NP + Comp + NP2 + Verb,input_texts/completed-websites-f25/pewresearch.txt,"Between 2010 and 2020, there was no change in the number of countries or territories in which the majority of the population is Muslim (53), Buddhist (7), Hindu (2), Jewish (1) or followers of other religions (1).",52,2
Coast,dobj,group,5,restrictive,where,advmod,where Muslims are the largest group but not the majority ),11,Other,NP + Comp + NP2,input_texts/completed-websites-f25/pewresearch.txt,These countries included Ivory Coast (where Muslims are the largest group but not the majority); Mauritius (Hindus); Singapore (Buddhists); and South Korea (religiously unaffiliated).,36,3
UK,dobj,lost,6,restrictive,which,nsubj,"which , as described above , lost their Christian majorities",10,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"They also included the UK, Australia and France – which, as described above, lost their Christian majorities.",21,3
service,dobj,mentioned,1,restrictive,that,nsubj,that mentioned the election,4,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"Overall, 67% of congregations that shared services online posted at least one service that mentioned the election.",20,3
model,dobj,identify,3,restrictive,that,nsubj,that would reliably identify such examples in the database we compiled,11,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"In fact, explicit endorsements from the pulpit were rare enough that researchers could not develop a machine learning model that would reliably identify such examples in the database we compiled.",32,5
people,nsubj,identify,1,restrictive,who,nsubj,who identify with a religion,5,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"As of 2020, people who identify with a religion make up about 76% of the world’s population, according to a new Pew Research Center study on global religious change.",35,3
countries,dobj,encompass,1,restrictive,that,nsubj,"that encompass 92 % of the global population ages 18 to 54 in 2010 , including almost all Hindus , 98 % of religiously unaffiliated people and 93 % of Christians",31,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"Together, these 117 surveys cover countries that encompass 92% of the global population ages 18 to 54 in 2010, including almost all Hindus, 98% of religiously unaffiliated people and 93% of Christians.",39,3
switching,dobj,took,1,restrictive,that,nsubj,that took place in a specific year,7,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,The surveys we analyze do not allow us to isolate religious switching that took place in a specific year.,20,6
people,dobj,say,1,restrictive,who,nsubj,"who say they are atheist , agnostic or “ nothing in particular ” in response to a Pew Research Center survey question about religious identity",25,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"The “Religiously unaffiliated” category includes people who say they are atheist, agnostic or “nothing in particular” in response to a Pew Research Center survey question about religious identity.",34,4
people,dobj,choose,1,restrictive,who,nsubj,who choose a “ No religion ” or “ None ” option in other surveys and national censuses,18,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,It also includes people who choose a “No religion” or “None” option in other surveys and national censuses.,23,3
adults,nsubj,brought,2,restrictive,who,nsubjpass,who were brought up as Buddhists,6,SRC,NP + Comp + Verb + NP2 (passive),input_texts/completed-websites-f25/pewresearch.txt,Fewer than eight-in-ten adults who were brought up as Buddhists (78%) have retained their religion.,19,4
people,nsubj,raised,2,restrictive,who,nsubjpass,who were raised Hindu and Muslim,6,SRC,NP + Comp + Verb + NP2 (passive),input_texts/completed-websites-f25/pewresearch.txt,"In contrast, it’s more common for people who were raised Hindu and Muslim to join a different religion than to identify with no religion.",28,5
investor,nsubj,buys,1,restrictive,who,nsubj,"who buys , say , a 10-year Treasury bond for $ 10,000 ,",13,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"An investor who buys, say, a 10-year Treasury bond for $10,000, always has the option of hanging onto it.",24,4
building,nsubj,takes,2,restrictive,where,advmod,"where trading takes place , with prices quoted publicly and in real time",13,Other,NP + Comp + NP2,input_texts/completed-websites-f25/pewresearch.txt,"There’s no physical building or centralized electronic exchange where trading takes place, with prices quoted publicly and in real time.",24,4
funds,dobj,cover,2,restrictive,that,nsubj,"that would cover their expenses for three months in case of sickness , job loss , economic downturn or other emergencies",21,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"Meanwhile, 48% of Americans say they have emergency or rainy day funds that would cover their expenses for three months in case of sickness, job loss, economic downturn or other emergencies.",36,3
funds,dobj,cover,2,restrictive,that,nsubj,"that would cover their expenses for three months in case of sickness , job loss , economic downturn or other emergencies",21,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"About half of Americans (48%) say they have emergency or rainy day funds that would cover their expenses for three months in case of sickness, job loss, economic downturn or other emergencies.",38,3
Individuals,nsubj,say,1,restrictive,who,nsubj,who say they are Asian,5,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"Individuals who say they are Asian may also identify as Hispanic and/or as one or more non-Asian races, such as White or Black.",25,3
those,dobj,identify,1,restrictive,who,nsubj,who identify as Taiwanese alone,5,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"In this analysis, Chinese does not include those who identify as Taiwanese alone.",15,3
those,dobj,identify,1,restrictive,who,nsubj,who identify with each origin alone or in combination with another Asian origin or a non-Asian race or ethnicity,19,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"For analysis of IPUMS data, Chinese, Filipino, Indian, Japanese, Korean, Taiwanese and Vietnamese include those who identify with each origin alone or in combination with another Asian origin or a non-Asian race or ethnicity.",41,2
